State;City;Tel. area code;Street;Postal Code
Dolnośląskie;Bogatynia;75;ul. Biskupia;59-916
Dolnośląskie;Karpacz;75;ul. Ogrodowa;58-540
Dolnośląskie;Karpacz;75;ul. Okrzei;58-540
Dolnośląskie;Karpacz;75;ul. Długa;58-540
Dolnośląskie;Kowary;75;ul. Prusa;58-530
Dolnośląskie;Kowary;75;ul. Mickiewicza;58-530
Dolnośląskie;Legnica;76;ul. Wały Pólnocne;59-200
Dolnośląskie;Legnica;76;ul. Kryniczna;59-200
Dolnośląskie;Legnica;76;ul. Niklowa;59-200
Dolnośląskie;Legnica;76;ul. Wały Królowej Jadwigi;59-200
Dolnośląskie;Legnica;76;ul. Dębowa;59-200
Dolnośląskie;Legnica;76;ul. Koralowa;59-200
Dolnośląskie;Legnica;76;ul. Kornela Makuszyńskiego;59-200
Dolnośląskie;Lubawka;75;ul. Skargi;58-420
Dolnośląskie;Lubawka;75;ul. Aleja Wojska Polskiego;58-420
Dolnośląskie;Lubawka;75;ul. Sienkiewicza;58-420
Dolnośląskie;Lubawka;75;ul. Szeroka;58-420
Dolnośląskie;Lubomierz;18;ul. Sportowa;34-736
Dolnośląskie;Lubomierz;18;ul. Ptasia;34-736
Dolnośląskie;Milicz;71;ul. Aleja ZHP;56-300
Dolnośląskie;Milicz;71;ul. Stawczyk;56-300
Dolnośląskie;Milicz;71;ul. Magazynowa;56-300
Dolnośląskie;Milicz;71;ul. Wałowa;56-300
Dolnośląskie;Milicz;71;ul. Czereśniowa;56-300
Dolnośląskie;Milicz;71;ul. Jaworowa;56-300
Dolnośląskie;Milicz;71;ul. Spółdzielcza;56-300
Dolnośląskie;Mirsk;75;ul. Chopina;59-630
Dolnośląskie;Mirsk;75;ul. Gruntowa;59-630
Dolnośląskie;Mirsk;75;ul. Zdrojowa;59-630
Dolnośląskie;Nowogrodziec;75;ul. Tadeusza Kościuszki;59-730
Dolnośląskie;Nowogrodziec;75;ul. 22 Lipca;59-730
Dolnośląskie;Nowogrodziec;75;ul. Mieczysławy Ćwiklińskiej;59-730
Dolnośląskie;Nowogrodziec;75;ul. Sienkiewicza;59-730
Dolnośląskie;Piechowice;75;ul. Nowotki;58-573
Dolnośląskie;Piechowice;75;ul. Konopnickiej;58-573
Dolnośląskie;Piechowice;75;ul. Słowackiego;58-573
Dolnośląskie;Piechowice;75;ul. Zawadzkiego;58-573
Dolnośląskie;Piechowice;75;ul. Pakoszowska;58-573
Dolnośląskie;Piechowice;75;ul. Norwida;58-573
Dolnośląskie;Piechowice;75;ul. Widok;58-573
Dolnośląskie;Piechowice;75;ul. Sielska;58-573
Dolnośląskie;Pieszyce;74;ul. Lasocin;58-250
Dolnośląskie;Polkowice;76;ul. Działkowa;59-100
Dolnośląskie;Polkowice;76;ul. Słonecznikowa;59-100
Dolnośląskie;Polkowice;76;ul. Walki Młodych;59-100
Dolnośląskie;Polkowice;76;ul. Ignacego Krasickiego;59-100
Dolnośląskie;Polkowice;76;ul. Leśna;59-100
Dolnośląskie;Polkowice;76;ul. Strefowa;59-100
Dolnośląskie;Polkowice;76;ul. Hugona Kołłątaja;59-100
Dolnośląskie;Strzegom;74;ul. Gronowska;58-150
Dolnośląskie;Strzegom;74;ul. Lipowa;58-150
Dolnośląskie;Strzegom;74;ul. Marii Konopnickiej;58-150
Dolnośląskie;Strzegom;74;ul. Ogrodowa;58-150
Dolnośląskie;Strzegom;74;ul. Gen. Henryka Dembińskiego;58-150
Dolnośląskie;Strzegom;74;ul. Klonowa;58-150
Dolnośląskie;Strzegom;74;ul. Czarna;58-150
Dolnośląskie;Strzegom;74;ul. Miodowa;58-150
Dolnośląskie;Strzegom;74;ul. Leśna;58-150
Dolnośląskie;Strzegom;74;ul. Strzelnicza;58-150
Dolnośląskie;Strzelin;71;ul. Kolejowa;57-100
Dolnośląskie;Szczytna;74;ul. Bobrownicka;57-330
Dolnośląskie;Szczytna;74;ul. Robotnicza;57-330
Dolnośląskie;Trzebnica;71;ul. Prusicka;55-100
Dolnośląskie;Zgorzelec;75;ul. Dzika;59-900
Dolnośląskie;Zgorzelec;75;ul. Droga Wojewódzka 355;59-900
Dolnośląskie;Zgorzelec;75;ul. Droga Wojewódzka 351;59-900
Dolnośląskie;Zgorzelec;75;ul. Orzeszkowej;59-900
Dolnośląskie;Zgorzelec;75;ul. Słowiańska;59-900
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Buszkowska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Gęsia;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Kogucia;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. 11 Dywizjonu Artylerii Konnej;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Biedronkowa;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Marii Konopnickiej;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Poziomkowa;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Prądocińska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Profesor Tadeusza Kotarbińskiego;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Rakowa;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Widok;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Zachodnia;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Błękitna;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Ciasna;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Częstochowska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Kaszubska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Litewska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Oleśnicka;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Szara;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Szczęśliwa;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Flisacka;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Grobla;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Kapeluszników;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Księdza Stanisława Konarskiego;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Pusta;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Spacerowa;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Stanisława Tomaszewskiego;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Toruńska;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Wągrowiecka;85-001
Kujawsko-Pomorskie;Bydgoszcz;52;ul. Żwirki i Wigury;85-001
Kujawsko-Pomorskie;Ciechocinek;54;ul. Władysława Warneńczyka;87-720
Kujawsko-Pomorskie;Ciechocinek;54;ul. Królowej Jadwigi;87-720
Kujawsko-Pomorskie;Ciechocinek;54;ul. Leśna;87-720
Kujawsko-Pomorskie;Ciechocinek;54;ul. Władysława Łokietka;87-720
Kujawsko-Pomorskie;Ciechocinek;54;ul. Kazimierza Wielkiego;87-720
Kujawsko-Pomorskie;Kowal;54;ul. Piastowska;87-820
Kujawsko-Pomorskie;Kowal;54;ul. Marii Konopnickiej;87-820
Kujawsko-Pomorskie;Kruszwica;52;ul. Nadgoplańska;88-150
Kujawsko-Pomorskie;Rypin;54;ul. Mławska;87-500
Kujawsko-Pomorskie;Tuchola;52;ul. Dąbrowskiej;89-500
Kujawsko-Pomorskie;Tuchola;52;ul. Kołłątaja;89-500
Kujawsko-Pomorskie;Tuchola;52;ul. Jana III Sobieskiego;89-500
Kujawsko-Pomorskie;Tuchola;52;ul. Leśna;89-500
Kujawsko-Pomorskie;Tuchola;52;ul. Słowackiego;89-500
Kujawsko-Pomorskie;Tuchola;52;ul. Orzeszkowej;89-500
Lubelskie;Piaski;65;ul. Piaskowa;63-820
Lubuskie;Dobiegniew;95;ul. 1 Maja;66-520
Lubuskie;Drezdenko;95;ul. Okrężna;66-530
Lubuskie;Drezdenko;95;ul. Łączna;66-530
Lubuskie;Drezdenko;95;ul. Pomorska;66-530
Lubuskie;Drezdenko;95;ul. Dworcowa;66-530
Lubuskie;Drezdenko;95;ul. Grunwaldzka;66-530
Lubuskie;Drezdenko;95;ul. Kwiatowa;66-530
Lubuskie;Drezdenko;95;ul. Piłsudskiego;66-530
Lubuskie;Drezdenko;95;ul. plac Kościelny;66-530
Lubuskie;Drezdenko;95;ul. Reja;66-530
Lubuskie;Drezdenko;95;ul. 29 Stycznia;66-530
Lubuskie;Kargowa;68;ul. Stroma;66-120
Lubuskie;Kargowa;68;ul. Przemysłowa;66-120
Lubuskie;Kargowa;68;ul. Modrzewiowa;66-120
Lubuskie;Kostrzyn;61;ul. Czerwonego Krzyża;62-025
Lubuskie;Kostrzyn;61;ul. Al. Sokoła;62-025
Lubuskie;Kostrzyn;61;ul. Krajowa;62-025
Lubuskie;Kostrzyn;61;ul. Stefana Batorego;62-025
Lubuskie;Kostrzyn;61;ul. Kopernika;62-025
Lubuskie;Kostrzyn;61;ul. Estkowskiego;62-025
Lubuskie;Kostrzyn;61;ul. Kosynierów;62-025
Lubuskie;Kostrzyn;61;ul. Bolesława Chrobrego;62-025
Lubuskie;Kostrzyn;61;ul. Ignacewo;62-025
Lubuskie;Lubniewice;95;ul. Osadników Wojskowych;69-210
Lubuskie;Lubniewice;95;ul. Kasztanowa;69-210
Lubuskie;Torzym;68;ul. Świerkowa;66-235
Lubuskie;Torzym;68;ul. Kwiatowa;66-235
Lubuskie;Torzym;68;ul. Biernackiego;66-235
Lubuskie;Torzym;68;ul. Prusa;66-235
Lubuskie;Torzym;68;ul. Ogrodowa;66-235
Lubuskie;Wschowa;65;ul. Kościelna;67-400
Lubuskie;Wschowa;65;ul. Polna;67-400
Lubuskie;Wschowa;65;ul. Sosnowa;67-400
Lubuskie;Wschowa;65;ul. Prusa;67-400
Lubuskie;Wschowa;65;ul. Słoneczna;67-400
Lubuskie;Wschowa;65;ul. Kuśnierska;67-400
Lubuskie;Wschowa;65;ul. Pocztowa;67-400
Lubuskie;Wschowa;65;ul. Garncarska;67-400
Lubuskie;Wschowa;65;ul. Ogińskiego;67-400
Lubuskie;Wschowa;65;ul. osiedle Jagiellonów;67-400
Lubuskie;Wschowa;65;ul. Rzeźnicka;67-400
Lubuskie;Wschowa;65;ul. Kamienna;67-400
Łódzkie;Brzeziny;46;ul. Słowackiego;39-111
Łódzkie;Brzeziny;46;ul. Potockiego;39-111
Łódzkie;Brzeziny;46;ul. Malownicza;39-111
Łódzkie;Brzeziny;46;ul. Moniuszki;39-111
Łódzkie;Brzeziny;46;ul. Słoneczna;39-111
Łódzkie;Brzeziny;46;ul. Janusza Korczaka;39-111
Łódzkie;Brzeziny;46;ul. Południowa;39-111
Łódzkie;Brzeziny;46;ul. Konwaliowa;39-111
Łódzkie;Brzeziny;46;ul. Kosmonautów;39-111
Łódzkie;Kutno;24;ul. Grunwaldzka;99-300
Łódzkie;Pabianice;42;ul. Orzechowa;95-200
Łódzkie;Pabianice;42;ul. Popławska;95-200
Łódzkie;Pabianice;42;ul. Trębacka;95-200
Łódzkie;Pabianice;42;ul. Traugutta;95-200
Łódzkie;Pabianice;42;ul. Jana Pawła II;95-200
Łódzkie;Pabianice;42;ul. Stara;95-200
Łódzkie;Pabianice;42;ul. Willowa;95-200
Łódzkie;Pabianice;42;ul. Dobra;95-200
Łódzkie;Pabianice;42;ul. Kasztanowa;95-200
Łódzkie;Pabianice;42;ul. Łaska;95-200
Łódzkie;Pabianice;42;ul. Poniatowskiego;95-200
Łódzkie;Pabianice;42;ul. Wierzbowa;95-200
Łódzkie;Pabianice;42;ul. Żabia;95-200
Łódzkie;Pabianice;42;ul. Mokra;95-200
Łódzkie;Pabianice;42;ul. Pomorska;95-200
Łódzkie;Pabianice;42;ul. Radosna;95-200
Łódzkie;Pabianice;42;ul. Zamkowa;95-200
Łódzkie;Pabianice;42;ul. Jodłowa;95-200
Łódzkie;Sieradz;43;ul. Braterstwa Broni;98-200
Łódzkie;Sieradz;43;ul. Leszka Czarnego;98-200
Łódzkie;Sieradz;43;ul. Wspólna;98-200
Łódzkie;Sieradz;43;ul. Mokra;98-200
Łódzkie;Sieradz;43;ul. Składowa;98-200
Łódzkie;Sieradz;43;ul. Droga Brzezińska;98-200
Łódzkie;Sieradz;43;ul. Radziminowska;98-200
Łódzkie;Sieradz;43;ul. Rynek Praski;98-200
Łódzkie;Sieradz;43;ul. aleja Pokoju;98-200
Łódzkie;Sieradz;43;ul. Roweckiego;98-200
Łódzkie;Sieradz;43;ul. Żwirki i Wigury;98-200
Łódzkie;Sieradz;43;ul. Ketlinga;98-200
Łódzkie;Sieradz;43;ul. Daszyńskiego;98-200
Łódzkie;Sieradz;43;ul. Kopernika;98-200
Łódzkie;Sieradz;43;ul. Leśna;98-200
Łódzkie;Skierniewice;46;ul. Henryka Sienkiewicza;96-100
Łódzkie;Warta;43;ul. Terenowa;98-290
Łódzkie;Zgierz;42;ul. Chemików;95-100
Małopolskie;Biecz;13;ul. Polna;38-340
Małopolskie;Biecz;13;ul. Wielopolskich;38-340
Małopolskie;Biecz;13;ul. Krzemińskiego;38-340
Małopolskie;Bochnia;14;ul. Kaima;32-700
